Unnamed: 0,Url,Price,Area,Price per cent,Location,Latitude,Longitude,distance_to_technopark,distance_to_agasthyamalai_hills,distance_to_ponmudi_hills,distance_to_nearest_beach,distance_to_nearest_lake,density,price_to_price_per_cent_ratio,beach_proximity,lake_proximity,Cluster
29,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-mangattukonam-trivandrum&id=4d423632303435313333,3000000.0,5.509641873,544500.0,mangattukonam,8.5921,76.8937,5.847951,51.056459,55.239652,8.521663,12.06546,Low,5.509641873278237,Inland,Inland,2
31,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-chittazha-trivandrum&id=4d423732333631383239,16800000.0,28.00734619,599842.6229,chittazha,8.5803,76.9456,10.70382784,44.020858,48.20404724,13.37754243,12.73452726,Low,28.0073461915372,Inland,Inland,0
32,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-thamalam-poojappura-trivandrum&id=4d423735343437393939,3500000.0,3.999081726,875200.9186,poojappura,8.488,76.9809,17.666302,51.066598,55.249791,9.785814,10.264713,Low,3.999081725826698,Inland,Inland,7
33,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-naruvamoodu-trivandrum&id=4d423735313634303739,3600000.0,6.019283747,598077.8032,naruvamoodu,8.45,77.0343,25.65008559,51.49093777,55.67412702,12.1871495,7.0954625,Low,6.019283746593323,Inland,Inland,3
34,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-chakka-trivandrum&id=4d423535363433393931,950000.0,8.953168044,106107.6923,chakka,8.4988,76.9198,10.94231073,52.73668913,56.91987838,5.355596004,3.948278567,Low,8.953168044726198,Inland,Inland,4
35,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-mangattukonam-trivandrum&id=4d423634363133313737,5250000.0,7.412764004,708237.8445,mangattukonam,8.5921,76.8937,5.847951,51.056459,55.239652,8.521663,12.06546,Low,7.412764004028028,Inland,Inland,2
38,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-kumarapuram-trivandrum&id=4d423735393337323031,14800000.0,8.748852158,1691650.485,kumarapuram,8.5118,76.9253,11.265095,50.934787,55.11798,5.661267,4.070057,Low,8.748852160202585,Inland,Inland,4
39,https://www.magicbricks.com/propertyDetails/land-for-sale-in-thiruvallam-trivandrum&id=4d423633303936343831,2500000.0,3.443526171,726000.0,thiruvallam,8.4479,76.9557,18.116752,56.031606,60.214799,6.992976,10.639722,Low,3.443526170798898,Inland,Inland,7
40,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-kazhakkottam-trivandrum&id=4d423531333836383338,75000000.0,33.92102847,2211017.867,kazhakkoottam,8.5686,76.8731,1.3051,54.06213,58.245323,3.089955,8.289953,Low,33.92102846358409,Inland,Inland,2
41,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-amboori-trivandrum&id=4d423735343330383639,4500000.0,44.99540863,100010.2041,amboori,8.5041,77.1916,45.65069881,51.48394518,55.66713443,31.94455031,31.69775382,Low,44.995408623508645,Inland,Inland,8
42,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-kudappanakunnu-trivandrum&id=4d423730373936303939,12100000.0,10.99862259,1100137.758,kudappanakunnu,8.549,76.9624,12.911424,44.62843,48.811623,12.428108,10.836898,Low,10.998622592499004,Inland,Inland,4
43,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-malayinkeezhu-trivandrum&id=4d423638353936343535,360000.0,3.443526171,104544.0,malayinkeezh,8.4902,77.0361,24.337032,47.113524,51.296717,16.808597,11.716912,Low,3.443526170798898,Inland,Inland,8
44,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-vettukkad-trivandrum&id=4d423239353536383835,16800000.0,15.99862259,1050090.4,vettukkad,8.4965,76.9017,11.1397871,55.98303373,60.16622298,0.477177484,5.652523663,Low,15.998622594778508,Beachfront,Inland,4
45,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-marayamuttom-trivandrum&id=4d423631343637353433,2000000.0,9.997704316,200045.9242,marayamuttom,8.4165,77.1082,36.100454,55.447474,59.630667,14.522803,15.175828,Low,9.997704317136996,Inland,Inland,9
46,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-thirumala-trivandrum&id=4d423735393934373033,1300000.0,3.999081726,325074.6269,thirumala,8.5041,76.9917,18.7736,48.798465,52.981658,11.666181,11.668466,Low,3.999081725932145,Inland,Inland,7
47,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-kulathoor-trivandrum&id=4d423731333035393439,42000000.0,34.9862259,1200472.441,kulathoor,8.3319,77.0967,40.38119,64.786367,68.96956,5.40518,19.586336,Low,34.986225893710454,Inland,Inland,9
48,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-kumarapuram-trivandrum&id=4d423734383737373031,6000000.0,3.999081726,1500344.432,kumarapuram,8.5118,76.9253,11.265095,50.934787,55.11798,5.661267,4.070057,Low,3.999081725522077,Inland,Inland,4
49,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-techopark-trivandrum&id=4d423632353733303631,10000000.0,9.997704316,1000229.621,technopark,8.5581,76.8816,2.724974884,53.80764552,57.99083477,5.398689473,7.571957401,High,9.997704317136996,Inland,Inland,2
50,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-vettamukku-trivandrum&id=4d423734343130363537,12000000.0,9.997704316,1200275.545,vettamukku,8.5066,76.9858,17.774202,48.59153,52.774723,11.832711,12.02813,Low,9.997704318802898,Inland,Inland,7
51,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-pongumoodu-trivandrum&id=4d423731393234303737,10200000.0,5.99862259,1700390.356,pongumoodu,8.5393,76.9174,7.839663,50.295587,54.47878,7.969712,6.378502,Low,5.99862258922386,Inland,Inland,2
52,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-kattakkada-trivandrum&id=4d423534353639373539,8000000.0,16.01239669,499612.9034,kattakkada,8.5033,77.0852,29.967282,42.455763,46.638956,20.251251,17.19968,Low,16.01239668863204,Inland,Inland,8
53,https://www.magicbricks.com/propertyDetails/plot-land-for-sale-in-peyad-trivandrum&id=4d423531313330393336,5600000.0,6.999540863,800052.4762,peyad,8.5173,77.0237,22.032659,45.040947,49.22414,15.810231,14.532601,Low,6.999540863367182,Inland,Inland,8
